,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [0], [3, 2], [1], [2, 1], [1, 0, 1], [0]]",2.278322291155805,"[1, 1, 2, 1, 2, 3, 1]",6,Constant*((x[0]-Constant)**Constant) * (x[1]**Constant) * (x[2]),0.46836446921851105*((x[0]-0.19860053699678704)**-0.13996242861034466) * (x[1]**0.6351907570860139) * (x[2]),[ 0.46836447  0.19860054 -0.13996243  0.63519076],2.539792953058866,"{'fitness 25': 2.565432194798184, 'fitness 53': 2.198192217031029, 'fitness 74': 2.0713424616382015, 'fitness 102': 2.539792953058866}",True
1,"[[0], [0], [3, 2], [1], [2, 1], [1, 0, 1], [0]]",2.2783223412392224,"[1, 1, 2, 1, 2, 3, 1]",6,Constant*((x[0]-Constant)**Constant) * (x[1]**Constant) * (x[2]),0.4683428834212554*((x[0]-0.19845968192487887)**-0.14002468248353805) * (x[1]**0.6351987527984237) * (x[2]),[ 0.46834288  0.19845968 -0.14002468  0.63519875],2.5393872144256675,"{'fitness 25': 2.56582526368585, 'fitness 53': 2.197944411648253, 'fitness 74': 2.071197348383563, 'fitness 102': 2.5393872144256675}",True
2,"[[0], [0], [3, 2], [0, 1], [0, 2, 3, 2], [1, 1, 0, 0], [0, 0, 0, 0]]",2.3189482663903447,"[1, 1, 2, 1, 2, 3, 1]",6,Constant+(Constant*x[0]**Constant) * (x[1]**Constant) * (x[2]),-1.1530216955924035+(0.5371074563461846*x[0]**-0.19124389068023856) * (x[1]**0.6249453141142622) * (x[2]),[-1.1530217   0.53710746 -0.19124389  0.62494531],2.589104023253265,"{'fitness 25': 2.6328154526933853, 'fitness 53': 2.222852829862232, 'fitness 74': 2.1011765166154164, 'fitness 102': 2.589104023253265}",True
3,"[[0], [1], [3, 2], [0], [3, 3], [1, 1, 0], [0]]",2.319970150169773,"[1, 1, 2, 1, 2, 3, 1]",6,(Constant/(Constant/x[0]**Constant)) * (x[1]**Constant) * (x[2]),(0.5593910406867171/(1.1615147929072136/x[0]**-0.19421519497012957)) * (x[1]**0.6359000021481434) * (x[2]),[ 0.55939104  1.16151479 -0.19421519  0.6359    ],2.5830298443351856,"{'fitness 25': 2.6340201691560714, 'fitness 53': 2.2261220777209165, 'fitness 74': 2.099768203632331, 'fitness 102': 2.5830298443351856}",True
4,"[[0], [0], [3, 2], [0, 2, 1], [2, 2, 3, 2], [1, 1, 0, 0], [0, 0, 0, 0, 0]]",2.3199701519242066,"[1, 1, 2, 1, 2, 3, 1]",6,Constant*(Constant*x[0]**Constant) * (x[1]**Constant) * (x[2]),0.5900055113247922*(0.8162737624014093*x[0]**-0.19421678833105857) * (x[1]**0.6358998465161885) * (x[2]),[ 0.59000551  0.81627376 -0.19421679  0.63589985],2.5829820720631522,"{'fitness 25': 2.634055679100627, 'fitness 53': 2.2261015856001674, 'fitness 74': 2.0997531910718266, 'fitness 102': 2.5829820720631522}",True
5,"[[0], [0], [3, 2], [1], [2, 2, 3, 2], [1, 1, 0, 0], [0, 0, 0, 0]]",2.319970153161084,"[1, 1, 2, 1, 2, 3, 1]",6,Constant*((Constant*x[0])**Constant) * (x[1]**Constant) * (x[2]),0.14751004961567005*((0.0022598127157550116*x[0])**-0.19421350460491565) * (x[1]**0.6358983559425062) * (x[2]),[ 0.14751005  0.00225981 -0.1942135   0.63589836],2.583060484500829,"{'fitness 25': 2.6339952182862687, 'fitness 53': 2.2261387090353035, 'fitness 74': 2.09977653216168, 'fitness 102': 2.583060484500829}",True
6,"[[0], [0], [3, 2], [2], [2, 1], [1, 0], [0]]",2.3199701533253094,"[1, 1, 2, 1, 1, 2, 1]",6,Constant*(x[0]**Constant) * (x[1]**Constant) * (x[2]),0.48161244700682376*(x[0]**-0.19421291397011886) * (x[1]**0.6358981925453961) * (x[2]),[ 0.48161245 -0.19421291  0.63589819],2.5830243266629607,"{'fitness 25': 2.63401747657325, 'fitness 53': 2.226127834454391, 'fitness 74': 2.0997651489482876, 'fitness 102': 2.5830243266629607}",True
7,"[[0], [0], [3, 2], [1], [2, 2, 3, 2], [1, 1, 0, 0], [0, 0, 0, 0]]",2.3199701536757185,"[1, 1, 2, 1, 2, 3, 1]",6,Constant*((Constant*x[0])**Constant) * (x[1]**Constant) * (x[2]),0.4493198948430927*((0.6995482925115042*x[0])**-0.19421421024172067) * (x[1]**0.635899274049293) * (x[2]),[ 0.44931989  0.69954829 -0.19421421  0.63589927],2.5829834909738176,"{'fitness 25': 2.6340479858141865, 'fitness 53': 2.2261092487794216, 'fitness 74': 2.0997532264335477, 'fitness 102': 2.5829834909738176}",True
8,"[[0], [0], [3, 2], [2], [2, 1], [1, 0], [0]]",2.319970153808366,"[1, 1, 2, 1, 1, 2, 1]",6,Constant*(x[0]**Constant) * (x[1]**Constant) * (x[2]),0.48161049910027615*(x[0]**-0.19421180513345118) * (x[1]**0.6358985278956634) * (x[2]),[ 0.4816105  -0.19421181  0.63589853],2.583065926953458,"{'fitness 25': 2.633987325124469, 'fitness 53': 2.22614476553606, 'fitness 74': 2.0997783707645694, 'fitness 102': 2.583065926953458}",True
9,"[[0], [1], [2, 3], [0], [3, 3], [1, 0, 1], [0]]",2.319970154701128,"[1, 1, 2, 1, 2, 3, 1]",6,((Constant/x[0]**Constant)/Constant) * (x[1]**Constant) * (x[2]),((0.5147214836511103/x[0]**0.1942137264489047)/1.0687386571036979) * (x[1]**0.6358972302133046) * (x[2]),[0.51472148 0.19421373 1.06873866 0.63589723],2.583046403911503,"{'fitness 25': 2.634004761491887, 'fitness 53': 2.2261344018696922, 'fitness 74': 2.099771300741804, 'fitness 102': 2.583046403911503}",True
10,"[[0], [0], [3, 2], [2], [2, 1], [1, 0], [0]]",2.319970154703702,"[1, 1, 2, 1, 1, 2, 1]",6,Constant*(x[0]**Constant) * (x[1]**Constant) * (x[2]),0.4816064449776893*(x[0]**-0.19422135499637552) * (x[1]**0.6358994487153328) * (x[2]),[ 0.48160644 -0.19422135  0.63589945],2.583017893244797,"{'fitness 25': 2.6340436870534387, 'fitness 53': 2.22610275798082, 'fitness 74': 2.099764019076847, 'fitness 102': 2.583017893244797}",True
11,"[[0], [0], [3, 2], [2], [2, 1], [1, 0], [0]]",2.319970155615233,"[1, 1, 2, 1, 1, 2, 1]",6,Constant*(x[0]**Constant) * (x[1]**Constant) * (x[2]),0.4815877496835863*(x[0]**-0.19421789311434706) * (x[1]**0.6359039286317855) * (x[2]),[ 0.48158775 -0.19421789  0.63590393],2.583074625504159,"{'fitness 25': 2.633998649921035, 'fitness 53': 2.226126734770237, 'fitness 74': 2.099785082154428, 'fitness 102': 2.583074625504159}",True
12,"[[0], [0], [3, 2], [1], [3, 2], [1, 1, 0, 0], [0, 0, 0, 0]]",2.319970164671671,"[1, 1, 2, 1, 2, 3, 1]",6,Constant/((Constant*x[0])**Constant) * (x[1]**Constant) * (x[2]),0.43486051000243425/((0.5913666125663517*x[0])**0.1942228016785798) * (x[1]**0.6359081549771681) * (x[2]),[0.43486051 0.59136661 0.1942228  0.63590815],2.583003899429225,"{'fitness 25': 2.6340589638913845, 'fitness 53': 2.2260853506113594, 'fitness 74': 2.0997661795122684, 'fitness 102': 2.583003899429225}",True
13,"[[0], [0], [3, 2], [2], [2, 1], [1, 0, 1], [0]]",2.319970169134428,"[1, 1, 2, 1, 1, 2, 1]",6,Constant*(x[0]**Constant) * (x[1]**Constant) * (x[2]),0.48161670533412854*(x[0]**-0.1942191377319753) * (x[1]**0.63589657571219) * (x[2]),[ 0.48161671 -0.19421914  0.63589658],2.583111618713173,"{'fitness 25': 2.6339755202015995, 'fitness 53': 2.226143889233952, 'fitness 74': 2.099791097967733, 'fitness 102': 2.583111618713173}",True
14,"[[0], [2], [2], [1], [3], [1, 0], [0]]",2.3199701811482942,"[1, 1, 1, 1, 1, 2, 1]",6,(((Constant/x[0])**Constant)**Constant) * (x[1]**Constant) * (x[2]),(((0.02323511965983996/x[0])**0.2608343634489022)**0.7445510015407973) * (x[1]**0.6358986487931709) * (x[2]),[0.02323512 0.26083436 0.744551   0.63589865],2.5829579294053784,"{'fitness 25': 2.6340397723768505, 'fitness 53': 2.226125876647287, 'fitness 74': 2.0997448944207453, 'fitness 102': 2.5829579294053784}",True
