,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [1], [2, 1], [2, 3, 2], [1, 0], [3, 0, 3, 3, 3], [1, 1, 1, 0, 1], [0, 1, 0]]",0.16032511207471306,"[1, 1, 2, 3, 2, 4, 5, 1]",7,((((Constant/Constant)**Constant)**Constant)+(Constant/(x[0]/Constant**Constant))),((((0.4927749392869639/0.05874594936824684)**0.9322610422793729)**0.1576841747424489)+(0.8554984724979569/(x[0]/0.04686451672818437**0.17878489558131672))),"[0.49277494 0.05874595 0.93226104 0.15768417 0.85549847 0.04686452
 0.1787849 ]",0.15186182419151578,"{'fitness 25': 0.16518090157555018, 'fitness 53': 0.1672935862044112, 'fitness 74': 0.14850084844417782, 'fitness 102': 0.15186182419151578}",False
1,"[[0], [1], [2, 1], [0, 3, 1], [2, 2, 1, 0], [3, 0, 0, 0, 3, 1, 2], [0, 0, 1, 0, 1, 0, 1, 0], [0, 1, 0, 0]]",0.26045187320738267,"[1, 1, 2, 3, 4, 6, 7, 4]",7,((x[0]/x[1]**Constant)+(Constant+((x[0]+Constant)/x[0]-Constant))),((x[0]/x[1]**0.4927749392869639)+(0.05874594936824684+((x[0]+0.9322610422793729)/x[0]-0.1576841747424489))),[0.49277494 0.05874595 0.93226104 0.15768417],0.2522631122907795,"{'fitness 25': 0.3076552670132478, 'fitness 53': 0.2600405084574904, 'fitness 74': 0.21365984415140996, 'fitness 102': 0.2522631122907795}",False
2,"[[0], [2], [1], [2, 0], [2, 2, 1], [3, 0, 3, 1, 3, 2, 0], [0, 0, 1, 1], [1, 0]]",0.265087969221427,"[1, 1, 1, 2, 3, 3, 4, 2]",7,(((x[1]**Constant)/x[0]+(Constant/Constant))**Constant),(((x[1]**0.4927749392869639)/x[0]+(0.05874594936824684/0.9322610422793729))**0.1576841747424489),[0.49277494 0.05874595 0.93226104 0.15768417],0.2840810207144877,"{'fitness 25': 0.22314714022874568, 'fitness 53': 0.28500873920716496, 'fitness 74': 0.28710802822837034, 'fitness 102': 0.2840810207144877}",False
3,"[[0], [1], [2, 1], [2, 2, 2], [0, 1, 0], [0, 0, 2, 3, 2], [1, 1, 1, 1, 0, 1], [0]]",0.26724171765735144,"[1, 1, 2, 3, 3, 5, 6, 1]",7,(((Constant+Constant**Constant)**Constant)+(((Constant*Constant)**Constant)/(x[0]*Constant**Constant))),(((0.4927749392869639+0.05874594936824684**0.9322610422793729)**0.1576841747424489)+(((0.8554984724979569*0.04686451672818437)**0.17878489558131672)/(x[0]*0.6575055093689879**0.30502334373943374))),"[0.49277494 0.05874595 0.93226104 0.15768417 0.85549847 0.04686452
 0.1787849  0.65750551 0.30502334]",0.28704231994370044,"{'fitness 25': 0.21812924319155733, 'fitness 53': 0.28358994306640944, 'fitness 74': 0.3000059667140876, 'fitness 102': 0.28704231994370044}",False
4,"[[0], [0], [0, 2], [2, 2, 2], [0, 1, 0], [0, 0, 2, 3, 2], [1, 0, 1, 1, 0, 1], [0, 0]]",0.26755725473059894,"[1, 1, 2, 3, 3, 5, 6, 2]",7,(Constant+x[0]**Constant)+((Constant*Constant)**Constant)/((x[0]*Constant**Constant)**Constant),(0.4927749392869639+x[0]**0.05874594936824684)+((0.9322610422793729*0.1576841747424489)**0.8554984724979569)/((x[0]*0.04686451672818437**0.17878489558131672)**0.6575055093689879),"[0.49277494 0.05874595 0.93226104 0.15768417 0.85549847 0.04686452
 0.1787849  0.65750551]",0.2899820892468902,"{'fitness 25': 0.20856507106576166, 'fitness 53': 0.2980882823204956, 'fitness 74': 0.2960184108055396, 'fitness 102': 0.2899820892468902}",False
5,"[[0], [1], [0, 2], [2, 2, 2], [0, 1, 0], [0, 0, 2, 3, 2], [1, 0, 1, 1, 0, 1], [0, 0]]",0.26755725473059894,"[1, 1, 2, 3, 3, 5, 6, 2]",7,((Constant+x[0]**Constant)+((Constant*Constant)**Constant)/((x[0]*Constant**Constant)**Constant)),((0.4927749392869639+x[0]**0.05874594936824684)+((0.9322610422793729*0.1576841747424489)**0.8554984724979569)/((x[0]*0.04686451672818437**0.17878489558131672)**0.6575055093689879)),"[0.49277494 0.05874595 0.93226104 0.15768417 0.85549847 0.04686452
 0.1787849  0.65750551]",0.2899820892468902,"{'fitness 25': 0.20856507106576166, 'fitness 53': 0.2980882823204956, 'fitness 74': 0.2960184108055396, 'fitness 102': 0.2899820892468902}",False
6,"[[0], [1], [2, 0], [2, 3, 2], [0, 2], [3, 0, 3, 3, 3], [0, 0, 1, 0], [0, 0, 0]]",0.26902013237543126,"[1, 1, 2, 3, 2, 3, 4, 3]",7,(((x[0]/x[0]**Constant)**Constant)+Constant/(x[0]**Constant)),(((x[0]/x[0]**0.4927749392869639)**0.05874594936824684)+0.9322610422793729/(x[0]**0.1576841747424489)),[0.49277494 0.05874595 0.93226104 0.15768417],0.2736170034269685,"{'fitness 25': 0.2419865625517963, 'fitness 53': 0.2892086578878148, 'fitness 74': 0.27586517668668264, 'fitness 102': 0.2736170034269685}",False
7,"[[0], [0], [2, 1], [2, 3, 2], [0, 2], [3, 0, 3, 3, 3], [0, 0, 1, 0], [0, 0, 0]]",0.26902013237543126,"[1, 1, 2, 3, 2, 3, 4, 3]",7,((x[0]/x[0]**Constant)**Constant)+(Constant/(x[0]**Constant)),((x[0]/x[0]**0.4927749392869639)**0.05874594936824684)+(0.9322610422793729/(x[0]**0.1576841747424489)),[0.49277494 0.05874595 0.93226104 0.15768417],0.2736170034269685,"{'fitness 25': 0.2419865625517963, 'fitness 53': 0.2892086578878148, 'fitness 74': 0.27586517668668264, 'fitness 102': 0.2736170034269685}",False
8,"[[0], [0], [2, 1], [2, 3, 2], [0, 2], [2, 0, 3, 3, 3], [0, 0, 1, 0], [0, 0, 0, 0]]",0.2853195578269783,"[1, 1, 2, 3, 2, 3, 4, 3]",7,((x[0]*x[0]**Constant)**Constant)+(Constant/(x[0]**Constant)),((x[0]*x[0]**0.4927749392869639)**0.05874594936824684)+(0.9322610422793729/(x[0]**0.1576841747424489)),[0.49277494 0.05874595 0.93226104 0.15768417],0.29114840249866447,"{'fitness 25': 0.25588797622415715, 'fitness 53': 0.3068318765812411, 'fitness 74': 0.29323882067553664, 'fitness 102': 0.29114840249866447}",False
9,"[[0], [0], [1, 1], [2, 3, 2, 0], [1, 2, 0, 2], [2, 0, 3, 2, 1, 3], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]",0.2883046492028494,"[1, 1, 2, 4, 4, 6, 7, 6]",7,(((x[0]*x[0])**Constant)+x[0])/((x[0]**Constant)*x[0]-Constant/x[1]),(((x[0]*x[0])**0.4927749392869639)+x[0])/((x[0]**0.05874594936824684)*x[0]-0.9322610422793729/x[1]),[0.49277494 0.05874595 0.93226104],0.2844979995510342,"{'fitness 25': 0.2773392699286268, 'fitness 53': 0.30221530178728406, 'fitness 74': 0.2853593758926373, 'fitness 102': 0.2844979995510342}",False
