,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [0], [0, 2], [3, 2, 3], [2, 2], [2, 2], [1, 0, 0], [1, 0]]",0.7941211064680972,7,Constant*(x[1]**Constant)*(x[0]**Constant),"[1, 1, 2, 3, 1, 2, 3, 2]",22.658093772581065*(x[1]**-0.2408225661867915)*(x[0]**-1.1491987935379886),[22.65809377 -0.24082257 -1.14919879],0.8044462152273008,"{'fitness 25': 0.7369400846179347, 'fitness 53': 0.9178058477431319, 'fitness 74': 0.7276173870432251, 'fitness 102': 0.8044462152273008}",True
1,"[[0], [0], [0, 2], [3, 2, 3], [2, 0, 0, 1, 1, 2], [2, 3, 0, 2, 0, 1, 3, 0, 0, 2], [1, 0, 0], [1, 0]]",0.794121138810636,7,Constant*(x[1]**Constant)/(x[0]**Constant),"[1, 1, 2, 3, 1, 2, 3, 2]",22.657806995806126*(x[1]**-0.24081431285946892)/(x[0]**1.1491907583908),[22.657807   -0.24081431  1.14919076],0.8043927623846787,"{'fitness 25': 0.7370194403633618, 'fitness 53': 0.9177856629523852, 'fitness 74': 0.7275583131161608, 'fitness 102': 0.8043927623846787}",True
2,"[[0], [2], [0], [2, 3], [1], [3, 2], [1, 0, 0], [0, 1]]",0.7941212754221039,7,(((Constant/x[0])**Constant)*x[1]**Constant),"[1, 1, 1, 2, 1, 2, 3, 2]",(((15.09613852843479/x[0])**1.1493138980222342)*x[1]**-0.24074043383151167),[15.09613853  1.1493139  -0.24074043],0.8045654716792038,"{'fitness 25': 0.7368356771071372, 'fitness 53': 0.9178387859388057, 'fitness 74': 0.7276893632203688, 'fitness 102': 0.8045654716792038}",True
3,"[[0], [1], [2, 1], [3, 0, 3], [2, 0, 1, 2, 2], [3, 2, 0, 3, 2, 0, 0], [1, 0, 1, 1, 0, 1, 1, 0], [0, 1, 0, 0]]",0.848531499378305,7,((Constant**Constant)/(x[0]*Constant+Constant/x[1])),"[1, 1, 2, 3, 2, 4, 5, 2]",((-1.4077956217158678**2.2755808406572138)/(x[0]*-0.6735913544356582+96.90674728322259/x[1])),[-1.40779562  2.27558084 -0.67359135 96.90674728],1.0854660511807506,"{'fitness 25': 0.7602715360194074, 'fitness 53': 0.9498655122444772, 'fitness 74': 0.8354574498710301, 'fitness 102': 1.0854660511807506}",True
4,"[[0], [0], [0, 1], [1, 1, 0, 3], [1, 2, 1, 2, 2, 0], [3, 2, 0, 3, 2, 0, 0, 2, 0, 2], [1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1], [1, 0, 0, 0]]",0.9110391662116467,7,((Constant/Constant)*x[1])+((Constant/x[0])*Constant)+(Constant+Constant*x[0]+x[0]),"[1, 1, 2, 4, 6, 9, 10, 4]",((-0.23534757717993252/1438.2729600892071)*x[1])+((-0.7271922190536484/x[0])*-6.196639319686718)+(-1.1834080070379391+-0.40702565753543524*x[0]+x[0]),"[-2.35347577e-01  1.43827296e+03 -7.27192219e-01 -6.19663932e+00
 -1.18340801e+00 -4.07025658e-01]",1.029254809105052,"{'fitness 25': 0.8366099492333726, 'fitness 53': 1.0303177363527964, 'fitness 74': 0.8661898130487709, 'fitness 102': 1.029254809105052}",True
5,"[[0], [0], [1, 1], [1, 1, 0, 3], [1, 2, 1, 2, 1, 0], [0, 3, 0, 2, 0, 1, 3, 0, 2, 2], [1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 1, 1]]",0.9627742200529733,7,(((Constant+x[0])/x[0])+((Constant*x[0])+Constant))-((x[0]/x[1])+x[1]*x[1]*Constant),"[1, 1, 2, 4, 6, 10, 11, 7]",(((3.432398334539568+x[0])/x[0])+((-1.4556818324720449*x[0])+0.5620485180205065))-((x[0]/x[1])+x[1]*x[1]*4.71875708026219e-09),[ 3.43239833e+00 -1.45568183e+00  5.62048518e-01  4.71875708e-09],1.1054575934069872,"{'fitness 25': 0.8734630238879846, 'fitness 53': 1.0793788182755772, 'fitness 74': 0.9354808179953582, 'fitness 102': 1.1054575934069872}",True
6,"[[0], [0], [1, 2], [3, 2, 1, 0], [2, 2, 0, 0, 2], [3, 0, 0, 1, 3, 3, 0], [1, 0, 0, 1, 1, 0, 1, 1], [0, 1, 0, 0, 1]]",0.9675838970491579,7,(Constant/(x[0]**Constant))+((x[1]+Constant-Constant)**Constant),"[1, 1, 2, 3, 3, 4, 5, 2]",(3.082676646429605/(x[0]**1.247161275998868))+((x[1]+0.06652978805598202-0.3266904438185111)**-0.16227184730497643),[ 3.08267665  1.24716128  0.06652979  0.32669044 -0.16227185],1.1022190333929407,"{'fitness 25': 0.9003966216458221, 'fitness 53': 1.0771755015295594, 'fitness 74': 0.9251795679720923, 'fitness 102': 1.1022190333929407}",True
7,"[[0], [1], [2, 1], [3, 2, 1], [2, 2, 0], [3, 0, 0, 1], [1, 0, 0, 0, 1], [0, 0, 0]]",0.9720617718268647,7,((Constant**Constant)/((x[0]**Constant)+(x[0]+x[0]-Constant))),"[1, 1, 2, 3, 3, 4, 5, 3]",((0.5595602538254463**-2.734027365627124)/((x[0]**-0.21678426808805684)+(x[0]+x[0]-1.528223061476994))),[ 0.55956025 -2.73402737 -0.21678427  1.52822306],1.1103164045082152,"{'fitness 25': 0.897970673080726, 'fitness 53': 1.083590879604167, 'fitness 74': 0.934623762795701, 'fitness 102': 1.1103164045082152}",True
8,"[[0], [0], [0, 1], [2, 2, 0, 2], [2, 1, 2, 0, 2], [2, 3, 0, 2, 0, 1, 3, 0, 0, 2], [1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1], [0, 0, 0]]",0.972639987181482,7,(Constant**Constant)*((Constant/x[0])**Constant)+(x[0]*x[0]+Constant-(Constant**Constant)),"[1, 1, 2, 4, 5, 6, 7, 3]",(0.37944610292857694**-2.3726357345889353)*((0.8327933681707472/x[0])**0.6719871162112473)+(x[0]*x[0]+-2.0922334505324125-(2.7784942108752837**1.4676792768758844)),"[ 0.3794461  -2.37263573  0.83279337  0.67198712 -2.09223345  2.77849421
  1.46767928]",1.110897491199967,"{'fitness 25': 0.8991810856465701, 'fitness 53': 1.0832194350598443, 'fitness 74': 0.9355194408380314, 'fitness 102': 1.110897491199967}",True
9,"[[0], [1], [1, 2], [1, 0, 3], [2, 0, 1, 1], [2, 2, 1, 2, 2, 3, 2, 0], [1, 0, 0, 1, 0, 1, 1, 0], [0, 0, 0, 0]]",0.9727264460278958,7,(((Constant*x[0]*x[0])-(Constant*x[0])*(Constant/Constant))*(x[0]**Constant)),"[1, 1, 2, 3, 4, 7, 8, 4]",(((3.5910518518985857*x[0]*x[0])-(-0.20376181820175562*x[0])*(-1.8878462315505422/1.560478801337952))*(x[0]**-3.307791863713563)),[ 3.59105185 -0.20376182 -1.88784623  1.5604788  -3.30779186],1.1111865072505287,"{'fitness 25': 0.8986328463019653, 'fitness 53': 1.0831203714085693, 'fitness 74': 0.936426120373153, 'fitness 102': 1.1111865072505287}",True
